index,year,cat,name,arg1,arg2,arg3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,2003,C,Canted,#aaaaff,#006633,"Hubs, Global Expansion",1,0,0,0,0,5,1,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0
7,2003,B,Alpha-face,#33ff66,#006633,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,2003,C,Shadow,#aaaaff,#006633,Shaded,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
9,2003,D,Transparency,#ff34ff,#006633,Transparent-Links,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,2,0,0,0,1,0,1,0,0,1
10,2003,B,Green,#33ff66,#006633,Eco smart,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
11,2003,B,Punctuation,#33ff66,#006633,,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,2003,D,Labels,#ff34ff,#006633,States,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
13,2003,B,Photo-icon,#33ff66,#006633,"Photofill, Photo",0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
14,2003,C,Slinky,#aaaaff,#006633,,0,2,1,1,4,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0
15,2003,A,Wire,#ffaaaa,#006633,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16,2004,B,Glassine,#33ff66,#00CC00,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
17,2004,B,Bubbles,#33ff66,#00CC00,,1,2,0,0,4,3,0,0,0,0,2,0,1,0,1,0,2,0,1,0,1,1,1,1,0,0
18,2004,D,Dialogue-Boxes,#ff35ff,#00CC00,,0,3,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,2004,B,Substitutions,#33ff66,#00CC00,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20,2004,D,implied,#ff36ff,#00CC00,Concealed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
21,2004,A,Letter-Bars,#ffaaaa,#00CC00,,0,1,0,1,1,2,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
22,2004,B,Universal-People,#33ff66,#00CC00,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
23,2004,B,Handmade,#33ff66,#00CC00,Hand Type,0,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0
24,2004,B,Arm-Sight,#33ff66,#00CC00,,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25,2004,D,Human-Nature,#ff37ff,#00CC00,,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
26,2004,A,Cave-Rings,#ffaaaa,#00CC00,Natural-spirals,0,2,0,0,4,3,1,0,0,0,0,1,2,1,1,0,3,0,0,0,1,1,0,1,0,0
27,2004,C,Particle-Fields,#aaaaff,#00CC00,,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
28,2004,B,Prism,#33ff66,#00CC00,,0,0,0,0,0,2,1,1,3,1,0,2,6,0,1,1,2,0,0,1,1,1,1,0,0,0
29,2004,B,Mezzotint,#33ff66,#00CC00,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
30,2004,B,Mythic,#33ff66,#00CC00,,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2005,B,Folly-Stars,#33ff66,#33FF00,,0,0,0,0,0,5,1,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0
32,2005,D,Amalgams,#ff38ff,#33FF00,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
33,2005,B ,Blow-Out,#33ff66,#33FF00,,0,0,0,0,0,0,1,1,0,0,2,0,5,1,1,1,0,0,0,0,1,1,1,1,0,0
34,2005,B,CMYK,#33ff66,#33FF00,,0,1,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0
35,2005,B ,Flames,#33ff66,#33FF00,,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
36,2005,D,Wicker-Balls,#ff39ff,#33FF00,,0,2,1,1,3,2,1,0,4,1,0,2,0,0,1,1,3,1,0,0,1,0,0,0,0,0
37,2005,B,Weaves,#33ff66,#33FF00,"woven,knit",0,1,0,1,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0
38,2005,B,Whips,#33ff66,#33FF00,,0,3,1,1,5,0,0,0,0,0,0,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0
39,2005,B ,Puffies,#33ff66,#33FF00,,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0
40,2005,A,Line-Dots,#ffaaaa,#33FF00,"Droplets, Dot-Tip, Molecules",2,1,0,0,5,3,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0
41,2005,A,Good-Drops,#ffaaaa,#33FF00,,0,2,0,1,4,3,1,0,0,0,2,0,2,1,1,0,2,0,0,0,1,0,1,1,0,1
42,2005,B ,Leaf-Life,#33ff66,#33FF00,Sprout,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
43,2005,B,Blur,#33ff66,#33FF00,"gossamer, vibrate,Selective-Focus",0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
44,2005,C,Swirlys,#aaaaff,#33FF00,,0,3,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,2005,A ,Hot Dogs,#ffaaaa,#33FF00,,0,1,0,1,0,2,1,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0
46,2006,B,Blankets,#33ff66,#99FF00,,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
47,2006,C,Blenders,#aaaaff,#99FF00,Natural-spirals,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
48,2006,B,Buttons,#33ff66,#99FF00,,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1
49,2006,B,Dot-Fuzz,#33ff66,#99FF00,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
50,2006,A,Orbs,#ffaaaa,#99FF00,Sphere-Carving,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
51,2006,B,Dry-Brush,#33ff66,#99FF00,,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0
52,2006,B,Embellish,#33ff66,#99FF00,,0,3,0,1,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0
53,2006,B,splat,#33ff66,#99FF00,,1,0,0,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
54,2006,B,glow,#33ff66,#99FF00,,0,0,0,0,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
55,2006,C,Transparent-3D,#aaaaff,#99FF00,,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0
56,2006,D,Overlays,#ff41ff,#99FF00,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
57,2006,B,Filigree,#33ff66,#99FF00,,0,3,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0
58,2006,B,Post-Apocalyptic,#33ff66,#99FF00,,0,0,0,0,0,0,1,1,4,1,0,2,0,0,1,1,2,0,0,0,1,0,1,1,0,0
59,2006,B,Vivid,#33ff66,#99FF00,,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0
60,2006,A,Scribbles,#ffaaaa,#99FF00,,0,3,1,1,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0
61,2007,B,Dos-Helix,#33ff66,#CCFF33,,0,2,0,0,5,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
62,2007,B,Rubber-Bands,#33ff66,#CCFF33,,0,3,0,1,0,3,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0
63,2007,B ,Radiance,#33ff66,#CCFF33,,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
64,2007,B,Eco-Smart,#33ff66,#CCFF33,Green,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,2007,B,Lit,#33ff66,#CCFF33,,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0
66,2007,B,Pseudo-Crest,#33ff66,#CCFF33,,0,3,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
67,2007,B,Urban-Vinyl,#33ff66,#CCFF33,juvi,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
68,2007,B,Hubs,#33ff66,#CCFF33,"Global Expansion,Canted",1,0,0,0,0,3,1,1,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0
69,2007,A,Descending-Dots,#ffaaaa,#CCFF33,,1,0,0,0,0,3,1,0,0,0,0,1,0,1,1,1,3,0,1,0,0,0,1,0,0,0
70,2007,B,Flora,#33ff66,#CCFF33,"flourish,wallpaper",0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
71,2007,D,half,#ff42ff,#CCFF33,,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,2007,D,Overlap,#ff43ff,#CCFF33,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,2007,A,3D,#ffaaaa,#CCFF33,,0,0,0,0,0,0,1,1,0,1,0,1,5,0,0,1,0,1,0,0,0,1,1,0,0,0
74,2007,B,OpticaLine,#33ff66,#CCFF33,,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0
75,2007,B,Ribbons,#33ff66,#CCFF33,,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,1,3,0,0,0,1,0,0,0,0,0
76,2008,C,Supernova,#aaaaff,#CCFF66,burst,1,1,1,1,3,0,1,1,0,0,2,0,6,1,1,1,2,0,1,1,1,0,0,0,0,0
77,2008,A,Fine-Line,#ffaaaa,#CCFF66,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,2008,A,FoldOver,#ffaaaa,#CCFF66,,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,2008,C,Global-Expansion,#aaaaff,#CCFF66,"Hubs, Canted",1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,2,0,1,0,1,0,1,0,0,0
80,2008,A,Loops,#ffaaaa,#CCFF66,,0,3,0,1,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
81,2008,A,Jawbreakers,#ffaaaa,#CCFF66,Concentric,0,0,0,0,0,3,1,0,0,0,0,1,6,0,1,0,0,0,1,0,1,0,0,0,0,0
82,2008,B,Strobe,#33ff66,#CCFF66,,0,1,0,1,0,2,1,0,0,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0
83,2008,B,Nimbus,#33ff66,#CCFF66,Rays,0,1,1,1,3,3,1,0,0,0,2,0,1,0,1,0,3,0,0,0,1,1,0,1,0,0
84,2008,B,Stitch,#33ff66,#CCFF66,,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85,2008,B,Colorblind,#33ff66,#CCFF66,,1,0,0,0,0,3,1,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
86,2008,D,Amoeba,#ff43ff,#CCFF66,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87,2008,B,Facets,#33ff66,#CCFF66,Flat Facets,0,0,0,0,0,5,1,0,0,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
88,2008,B,Doodles,#33ff66,#CCFF66,,0,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
89,2008,B,Flourish,#33ff66,#CCFF66,"flora,wallpaper",0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
90,2008,B,Fibrous,#33ff66,#CCFF66,festoon,0,3,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
91,2009,B,Photofill,#33ff66,#FFFF00,"photo-icon,Photo",0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0
92,2009,D,Concealed,#ff43ff,#FFFF00,implied,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0
93,2009,A,VariDot,#ffaaaa,#FFFF00,,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
94,2009,A,Candy-Stripe,#ffaaaa,#FFFF00,,0,3,0,1,1,0,0,0,0,0,0,1,6,0,1,0,1,0,0,1,1,0,0,0,0,0
95,2009,B,Texting,#33ff66,#FFFF00,,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
96,2009,D,Encrust,#ff43ff,#FFFF00,,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0
97,2009,C,Monolgue,#aaaaff,#FFFF00,,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0
98,2009,B,Doily,#33ff66,#FFFF00,,0,3,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0
99,2009,C,Flip-Flop,#aaaaff,#FFFF00,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
100,2009,B,Mosaic,#33ff66,#FFFF00,bucky,0,0,0,0,0,5,1,0,0,0,0,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0
101,2009,C,Sequential,#aaaaff,#FFFF00,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
102,2009,C,Recycle,#aaaaff,#FFFF00,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
103,2009,B,Dandelion,#33ff66,#FFFF00,spore,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0
104,2009,A,Circulate,#ffaaaa,#FFFF00,,0,0,0,0,0,3,1,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0
105,2009,B,Gossamer,#33ff66,#FFFF00,"blur,Selective-Focus",0,0,1,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
106,2010,A,Cubist,#ffaaaa,#FFCC00,,0,0,0,0,0,5,1,0,3,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0
107,2010,B,Spores,#33ff66,#FFCC00,dandelion,0,0,0,0,0,5,1,0,3,1,1,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0
108,2010,B,Ghosts,#33ff66,#FFCC00,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
109,2010,B,Tendrils,#33ff66,#FFCC00,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
110,2010,D,Shift,#ff43ff,#FFCC00,"overlap,overlay",0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,1,0,0,0,0,0
111,2010,D,Parts,#ff43ff,#FFCC00,,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
112,2010,A,Pixel,#ffaaaa,#FFCC00,"bucky,Trixelate",0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0
113,2010,A,Hexahedron,#ffaaaa,#FFCC00,,0,0,0,0,0,2,1,0,3,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0
114,2010,A,Dust,#ffaaaa,#FFCC00,,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
115,2010,B,Peepshow,#33ff66,#FFCC00,,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0
116,2010,B,Festoon,#33ff66,#FFCC00,fibrous,0,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
117,2010,B,Stains,#33ff66,#FFCC00,"Brush,watercolor",0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0
118,2010,C,Burst,#aaaaff,#FFCC00,Supernova,1,1,1,1,2,0,1,1,0,0,2,0,6,1,1,1,2,0,1,0,0,0,0,0,0,0
119,2010,B,Wallpaper,#33ff66,#FFCC00,"flora,flourish",0,0,0,0,0,0,1,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,1
120,2010,B,Box-Up,#33ff66,#FFCC00,,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
121,2011,B,Gradients,#33ff66,#FF9900,Chroma Coaster,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0
122,2011,B,Juvi,#33ff66,#FF9900,urban-vinyl,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
123,2011,B,Vibrate,#33ff66,#FF9900,blur,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
124,2011,A,O,#ffaaaa,#FF9900,Circle Break,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
125,2011,D,Earth,#ff43ff,#FF9900,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
126,2011,A,Monoline,#ffaaaa,#FF9900,"Mono Crest, Coloring",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
127,2011,D,Series,#ff43ff,#FF9900,Cousin-Series,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
128,2011,B,Brown,#33ff66,#FF9900,,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
129,2011,B,Dandruff,#33ff66,#FF9900,,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
130,2011,C,Concentric,#aaaaff,#FF9900,jawbreakers,0,3,0,0,3,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
131,2011,A,Loopys,#ffaaaa,#FF9900,,0,3,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
132,2011,B,Banded,#33ff66,#FF9900,,0,0,0,0,0,0,1,0,0,0,0,2,5,1,1,0,0,0,0,0,1,0,0,0,0,0
133,2011,B,Comma,#33ff66,#FF9900,,0,0,0,0,0,3,1,0,0,0,0,3,5,1,0,0,0,1,0,0,1,0,0,0,0,0
134,2011,A,Buckys,#ffaaaa,#FF9900,"mosaic,pixel,Tessellation,Trixelate",0,0,0,0,0,4,1,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0
135,2011,B,Fruit,#33ff66,#FF9900,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
136,2012,B,Icon-clusters,#33ff66,#FF6600,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
137,2012,D,Transparent-Links,#ff43ff,#FF6600,Transparency,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,2,0,0,0,1,0,1,0,0,1
138,2012,B,Watercolor,#33ff66,#FF6600,Stains,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
139,2012,A,Potato-Chip,#ffaaaa,#FF6600,Arc-Twists,0,0,0,0,0,3,1,1,0,0,1,0,5,1,1,1,0,0,0,1,1,0,0,0,0,0
140,2012,D,Anaglyphs,#ff43ff,#FF6600,,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,1,0,0,0,0,1,0,1,0,0,0
141,2012,B,Selective-Focus,#33ff66,#FF6600,"blur,gossamer",0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
142,2012,B,Woven,#33ff66,#FF6600,"Weaves, Knit",0,1,0,0,1,2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0
143,2012,A,Twined,#ffaaaa,#FF6600,,0,3,0,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
144,2012,B,Sprout,#33ff66,#FF6600,Leaf-Life,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
145,2012,C,Peel,#aaaaff,#FF6600,,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0
146,2012,A,Sphere-Carving,#ffaaaa,#FF6600,Orbs,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
147,2012,B,Apps,#33ff66,#FF6600,,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0,1,0,1,0,0,1,0,0,0,0,0
148,2012,A,Tessellation,#ffaaaa,#FF6600,bucky,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0
149,2012,A,Arc-Twists,#ffaaaa,#FF6600,Potato-Chip,0,2,0,0,0,2,1,1,0,0,1,0,5,1,0,1,0,0,0,1,1,0,0,0,0,0
150,2012,D,Cousin-Series,#ff43ff,#FF6600,Series,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0
151,2013,B,Here,#33ff66,#FF0000,Icon Clusters,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0
152,2013,D,Crossed,#ff43ff,#FF0000,,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,2013,B,Wave,#33ff66,#FF0000,,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
154,2013,B,Molecules,#33ff66,#FF0000,"Droplets,Line-Dots,Dot-Tip",2,1,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,1,0,0,1,0,0,0
155,2013,B,Nature Marks,#33ff66,#FF0000,,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
156,2013,B,Menbrance,#33ff66,#FF0000,,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
157,2013,B,Formula,#33ff66,#FF0000,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
